px,pz
0.559,1.939
-0.471,2.672
1.185,2.063
-0.249,3.818
-0.684,1.241
-0.543,2.225
0.55,3.32
0.903,2.143
-0.098,2.951
0.53,2.23
-0.298,2.251
-0.467,2.961
0.127,2.142
0.261,2.926
0.051,2.197
-0.069,2.164
0.999,3.353
-0.351,3.434
-1.103,1.633
0.64,2.605
0.446,2.38
0.138,2.183
-0.417,2.375
-0.451,3.088
1.101,2.013
0.857,2.847
1.108,2.457
-0.288,3.052
-0.501,2.922
0.157,2.223
-1.051,3.059
0.008,2.892
-0.091,3.241
0.139,2.016
0.654,2.97
0.164,1.684
0.42,2.544
0.223,2.844
-0.493,2.497
-0.531,2.24
-0.031,1.22
-0.565,2.695
-0.269,1.412
0.516,3.086
0.879,1.509
0.468,2.135
-0.466,2.225
-0.07,2.8
-0.265,1.999
0.774,1.944
0.964,1.58
0.715,2.716
1.03,1.721
0.346,2.271
-0.36,2.695
-0.263,3.011
-0.687,2.913
0.691,2.558
0.7,2.592
-0.086,1.63
-0.228,2.668
0.032,2.708
0.583,2.22
-1.1,3.05
-0.48,1.92
-0.46,2.36
0.68,1.95
-0.167,2.35
-0.25,1.89
-0.16,2.36
1.134,1.795
0.755,2.381
0.865,1.816
-1.264,2.413
1.509,2.046
0.125,2.694
0.324,3.004
-0.814,3.465
1.252,1.469
-0.421,3.699
0.605,2.817
-0.413,2.795
-0.214,3.241
-0.25,2.484
-0.308,3.347
-0.422,2.912
-0.34,1.591
-0.176,2.075
0.089,2.532
0.624,1.55
-0.103,3.438
0.883,1.902
-0.461,2.376
-0.237,2.645
-0.491,1.75
-0.693,1.94
0.292,2.305
-0.614,1.961
-0.43,1.749
-0.411,2.909
-0.656,2.645
-0.131,2.933
-0.738,2.341
-0.566,2.563
-0.003,2.748
-0.157,3.001
1.424,2.098
-0.598,2.136
0.743,2.329
0.665,3.158
-0.221,2.647
-1.129,2.608
0.054,1.508
-0.397,2.57
0.343,2.058
0.202,3.496
0.018,2.371
0.741,2.73
-0.969,2.829
0.715,1.26
1.259,1.996
-0.035,2.479
-0.126,3.17
0.023,2.051
0.409,2.199
-0.764,2.261
0.224,2.081
-0.306,2.9
-0.116,2.399
-0.466,2.096
0.066,2.162
0.045,3.231
0.088,3.03
0.739,3.315
0.631,2.495
-0.028,3.25
-0.21,2.71
-0.4,1.9
0.889,1.987
0.33,2.732
-0.361,1.845
0.037,2.742
-0.275,3.286
0.805,1.877
0.208,2.085
-0.849,2.236
-0.279,1.964
-0.208,2.904
0.907,2.497
-0.385,2.023
-0.507,2.039
0.381,1.277
-0.804,2.629
1.191,2.057
0.46,2.39
-0.099,1.631
-0.068,2.191
0.662,2.808
-1.203,2.547
-0.126,3.369
0.874,2.57
0.146,2.734
-0.183,2.726
-0.601,2.399
0.078,1.823
0.255,3.501
0.787,1.616
