px,pz
1.087,2.344
1.925,1.822
0.664,1.898
0.543,2.093
0.808,2.083
0.056,2.366
-0.857,2.483
0.487,2.595
-0.624,2.152
-0.498,2.239
-0.636,2.447
0.89,1.94
-0.26,1.92
1.43,1.3
0.3,1.36
0.292,2.565
0.654,2.077
-0.027,2.037
-0.632,1.405
1.07,2.794
-0.535,2.798
-0.571,1.603
0.385,1.847
-0.529,1.881
0.488,2.923
-0.954,3.561
0.77,1.984
-0.021,3.153
0.156,1.638
0.861,1.224
-0.163,3.182
-0.336,1.6
-0.264,2.541
0.169,1.219
0.839,1.851
0.655,1.957
-0.877,2.759
-0.73,1.715
0.071,1.663
0.825,2.238
1.036,0.797
0.261,1.7
-0.15,2.303
1.108,2.169
1.062,1.557
0.132,1.433
1.284,1.22
0.179,2.544
-0.281,1.931
0.273,1.782
0.369,2.227
0.964,1.666
-0.115,1.601
-0.584,1.331
0.989,2.134
0.139,1.098
-0.527,1.696
-0.625,1.837
0.601,1.894
0.551,1.251
0.205,1.898
0.47,1.835
0.629,3.002
-0.113,1.055
-0.986,2.161
-0.195,1.436
-0.551,0.879
0.531,2.509
0.424,1.98
0.533,2.313
0.265,2.663
-0.764,2.68
0.193,1.651
-0.055,1.793
1.636,1.084
-0.438,1.53
0.677,1.972
0.563,2.307
0.516,1.456
0.57,2.433
-0.833,1.278
-0.735,1.854
0.687,2.123
0.598,1.482
0.196,1.599
-0.365,2.797
0.473,0.983
0.436,3.142
0.238,3.477
0.494,2.878
0.871,2.427
0.708,0.838
0.37,2.884
-1.104,4.288
0.485,2.438
0.992,0.959
0.771,2.238
0.61,2.079
-0.224,1.254
-0.824,1.922
0.741,2.856
0.497,2.903
0.224,1.782
1.226,1.339
-0.906,1.943
0.58,2.811
0.004,1.057
0.455,2.148
-0.689,2.788
0.873,1.865
-0.547,2.123
0.368,2.482
0.75,3.158
0.54,2.483
0.735,1.777
0.164,1.931
0.771,2.241
1.422,1.808
0.916,2.036
0.242,1.24
0.325,2.218
0.88,1.859
0.009,2.061
-1.418,2.37
0.798,1.502
0.518,1.364
1.032,2.179
0.169,1.221
1.433,0.894
0.492,1.168
0.177,3.125
-0.781,3.091
0.335,2.93
0.673,2.107
0.817,2.633
1.343,0.949
0.975,3.493
0.395,3.087
0.401,1.674
0.514,2.057
0.82,2.993
1.24,2.089
0.53,1.017
0.391,2.254
0.503,1.763
-0.552,2.192
-0.729,1.84
0.245,2.943
0.445,1.913
1.197,1.385
0.308,1.964
-0.135,2.807
-0.531,1.459
-0.53,2.249
1.045,1.475
0.765,3.054
0.743,2.87
0.944,2.47
0.847,2.088
0.811,1.532
0.776,1.263
1.056,2.437
0.497,2.797
0.43,1.06
-0.47,1.78
0.69,2.35
0.78,2.47
-1.09,2.08
0.86,2.41
0.74,2.61
-0.13,2
-0.49,2.54
0.72,3.33
0.02,3.63
-0.025,2.081
0.593,0.98
0.96,3.23
0.528,2.57
0.972,2.046
0.348,2.269
0.319,2.666
0.574,2.554
-0.549,1.739
0.362,2.584
0.6,2.378
-0.05,0.85
